fid,Area,X,Y
401,185,352229.8321,386573.4685
402,60,365723.3766,388312.1601
403,181,354216.8182,396111.8733
404,290,385134.4147,379350.2895
417,315,338845.6962,363917.2947
421,140,354978.6835,484334.5415
422,287,349683.1696,497016.0799
423,155,340434.3191,482597.9102
424,100,362714.7736,482861.3697
425,205,372086.3805,490972.7272
426,228,362239.7001,503130.7284
427,164,350408.6864,470956.5317
428,686,320365.5148,524098.5265
429,622,320578.1748,547216.9237
430,66,336104.4416,558289.6379
431,96,344649.2156,558026.7169
432,326,335316.0919,499074.0584
433,907,318861.1263,491319.9939
434,143,307069.3425,514236.7307
435,86,298880.0796,517795.4803
436,145,350556.1303,428448.223
437,147,365689.4228,425411.1865
438,124,363611.9567,434720.1365
439,326,382772.9953,434563.804
440,165,380856.2806,420426.7311
441,510,337905.5082,403431.7958
442,45,341275.5502,425859.2213
443,407,353647.4684,413309.867
444,119,351161.7434,463978.4525
445,241,369008.0389,465989.2591
446,147,369021.2431,476477.6189
447,452,380288.9663,457183.9527
448,261,366937.2564,450061.0224
449,674,345982.7093,444114.4199
450,252,412837.4195,613120.6114
451,607,401939.6472,603905.0928
452,137,425041.1339,594626.3382
453,686,395050.2603,626669.6893
454,163,379499.7208,612483.5681
455,424,412035.1456,633057.1671
456,268,426565.095,562936.3052
457,258,407228.5793,563140.7453
458,266,404350.4502,552004.0567
459,38,394154.2536,565487.1305
460,337,408099.2425,587540.187
461,337,413936.4639,576852.575
462,102,429553.7928,574531.7913
463,314,356593.2822,542818.5169
464,400,346479.7157,519032.1344
465,685,370719.9205,516870.6373
466,256,336576.7249,539415.0637
467,170,346161.7961,539150.0457
468,356,359093.8389,566107.9349
469,329,348111.7433,581382.51
470,30,397008.0685,652643.4278
471,90,391793.0772,646532.6163
472,367,384564.326,637395.1483
473,98,333517.7665,565607.6509
474,229,350217.0057,573723.7687
475,94,339308.2456,572952.689
